chichewa,reference_en,predicted_en,predicted_hi
"mbewu zimenezi ndi monga mthuthu (tephrosia vogelli- mtundu wa chomera umene umagwiritsidwa ntchito yopangila mankhwala a m'munda), tagetes minuta (mtundu wa chomera umene uli mgulu la mpendadzuwa), anyezi ndi adyo","if you see sunken lesions of woody tissue on stems and branches, these are signs of phomopsis infestation","These plants include tephrosia vogelli- a plant that is used to make herbs for the field), tagetes minita (a plant that is part of the sun study group), green and green","इन पौधों में से एक पौधे है टोसोसोसिया वो पौधे जो क्षेत्र के लिए जड़ी - बूटी बनाने के लिए प्रयोग किया जाता है, टैग कमा (एक पौधा जो सूरज का अध्ययन समूह का हिस्सा है), हरा और हरा"
"ngati mukuwona kuti mitengo ili ndi ti zilonda pa tsinde ndi nthambi, dziwani kuti izi ndi zizindikiro za matenda owoletsa mitengo",phomopsis is a fungal disease that enters through open wounds on stems and branches,"If you see that trees have sores on the roots and branches, be assured that these are symptoms of tree control","अगर आपको लगता है कि पेड़ की जड़ें जड़ और डालियों पर बहुत भारी होती हैं, तो यकीन रखिए कि ये पेड़ के नियंत्रण के लक्षण हैं"
awa ndi matenda amene amagwira mtengo kudzela mu tizilonda timene timadza chifukwa chakuti mtengo wakhapidwa,the wounds could have been caused by a hoe during manual weeding or by moles and rats,This is a condition that affects a tree in the walls that come out of a cut - out tree,यह एक ऐसी स्थिति है जो दीवार में एक पेड़ को प्रभावित करती है जो काट - काट के पेड़ से निकल जाती है
mtengo utha kukhapidwa pamene mukupalira ndi khasu komanso tizilombo ndi makoswe zitha kubowola mtengo,"to control helopeltis infestation, it is recommended to pluck all the young soft leaves and leave only the hard leaves in the field",A tree can be cut down as you cry out to the ground as well as insects and rats can break down a tree,एक पेड़ को काट दिया जा सकता है और आप ज़मीन पर रो रहे हैं और कीड़े और चूहे पेड़ को तोड़ सकते हैं
"kuti muthane ndi udzudzu wa tiyi, mukuyenera kutchola masamba anthete a tiyi ndikusiya masamba okhwima",this method is called “hard plucking”,"To fight a tea mosquito, you must dry the young tea leaves and leave mature leaves","चाय के मच्छरों से लड़ने के लिए, आप छोटे चाय की पत्तियाँ सुखाना और प्रौढ़ पत्तों को छोड़ देना चाहिए"
"potchola masamba onse anthete amene amadyedwa ndi udzudzu wa tiyi, zimathandiza kuti udzudzuwu usapitilire","by removing all the soft leaves that helopeltis can feed on, their population can be controlled","When all the young leaves eaten by a tea mosquito, they keep the mosquito alive","जब सभी युवा चाय के द्वारा खाया जाता है, तो वे मच्छर को जीवित रखते हैं"
mbalame zina zimadya tizilombo ndikuchepetsa chiwerengero chatizilomboti,ladybirds feed on aphids and control their population,Some birds feed on insects and reduce their number of species,कुछ पक्षी कीड़े खाते हैं और उनकी संख्या कम होती है
mukapopela mankhwala tizilombo pamodzi ndi mbalame zomwe zimafa,spraying insecticide would kill not only aphids but also ladybirds,Carding insects along with birds who die,कीड़ों के साथ - साथ पक्षियों को भी जाना जाता है जो मर जाते हैं
"posapopela mankhwala, mumateteza mbalamezi zimene zimathandiza pochepetsa tizilombo","by not spraying insecticide, you can protect ladybirds and maintain the natural control of aphids","Without the aid of chemicals, you protect the birds that help control insects","रसायनों की मदद के बिना, आप उन पक्षियों की रक्षा करते हैं जो कीड़ों को काबू में रखने में मदद करते हैं"
"mukatha kupopera mankhwala, muyenera kutsuka zipangizo zothiririra mankhwala ndi zozitetezera","after spraying chemicals, you need to wash your application equipment and personal protective clothing (ppe)","After the spraying is done, you need to wash the equipment and the protection system","जब बुखार कम हो जाए, तो आपको उपकरण और सुरक्षा प्रणाली को धोने की ज़रूरत है"
"madzi otsukira amatsalira mankhwala, ndiye ngati simusamala, akhoza kuononga chilengedwe","water used to wash these equipment contains chemicals, so if you do not manage it properly, it would contaminate the environment","A solution is left, and if you don't take care of it, it can ruin the environment","समाधान बचा है, और यदि आप इसकी परवाह नहीं करते हैं, तो यह पर्यावरण को नष्ट कर सकता है"
"mukapopera mankhwala m'madimba a masamba, tsukani zida ndikuthira madzi m'dimba momwemo","when you spray vegetable fields, wash the equipment and pour the washing water back to the field","If you pump chemicals into leaf gardens, wash weapons and pour water into the garden","अगर आप रसायनों को पत्ते के बाग में बिछाते हैं, तो हथियार धोइए और बाग में पानी दीजिए"
"mukapopera mankhwala zifuyo, tsukani zida ndikutaya madzi mdzala/mdzenje","when you spray animals, wash the equipment and pour the washing water into a soak pit","If you spray up animals, wash weapons and throw water into a hole","यदि आप जानवरों को फोड़ते हैं, हथियार धोते हैं और एक छेद में पानी फेंक देते हैं"
mdzenje muyenera kudzadza makala omwe amathandiza kuyeretsa madzi,"a soak pit should be filled with charcoal, which helps to purify the water",You need to fill a hole with lead that helps clean up water,आपको एक छेद को ऐसे ले जाने की ज़रूरत है जो पानी को साफ करने में मदद देता है
osadula mitengo yachilengedwe kuti mupange makala,do not cut down indigenous trees to make charcoal,Do not cut down natural trees to make lead,अगुवाई करने के लिए प्राकृतिक पेड़ों को काट न दीजिए
kumbukiraninso kuchapa zovala zozitetezera,remember also to wash the protective clothing,"Remember, too, the washing of protective clothes","साथ ही, सुरक्षित कपड़े धोने को भी याद रखिए"
madzi ochapira atayidwe monga tafotokozera pamwambapa,treat the washing water in the same way as described above,"Washed water, as mentioned above","जैसे ऊपर बताया गया है, जल धोइए"
