chichewa,en_baseline,hi_baseline,en_augmented,hi_augmented,drift_baseline,drift_augmented
musamangoganizira zinthu,Keep your mind focused on things,अपनाध्यानबातोंपरलगाएरखिए,Keep your mind focused on things,अपनाध्यानबातोंपरलगाएरखिए,0.6843168,0.6843168
musaganize kuti akulu akulu akudziwa kapena sakusamala za chinthu china choncho muyenera kufunsa kuti mudziwe,"Do not assume that the elders do not know or care about something, so you need to ask for knowledge","यहमतसोचिएकिप्राचीनकिसीचीज़केबारेमेंनहींजानतेयाउनकीपरवाहनहींकरते, इसलिएआपकोज्ञानमाँगनेकीज़रूरतहै","Do not think that elders do not know or care about something, so you need to ask for information","यहमतसोचिएकिप्राचीनकिसीबातकोनहींजानतेयाउनकीपरवाहनहींकरते, इसलिएआपकोजानकारीमाँगनेकीज़रूरतहै",0.8033147,0.8402862
"komanso, musaganize kuti china chake sichikonzedwa","and, don't think something isn't planned","और, कुछयोजनानहींहैलगतानहींहै","and, don't think something isn't planned","और, कुछयोजनानहींहैलगतानहींहै",0.81534207,0.81534207
akulu akulu a aoi ndi wodzipereka kuwonetsetsa kuti za malamulo zimene zikuyenera kuchitika zikutsatidwa,The local elders are willing to make sure that the laws that should be met,स्थानीयप्राचीनयहनिश्‍चितकरनेकेलिएतैयारहैंकिजोनियममिलतेहैंउन्हेंपूराकियाजानाचाहिए,Local elders are eager to make sure that laws must be met,स्थानीयप्राचीननिश्‍चितकरनेकेलिएउत्सुकहैंकिनियमोंकोपूराकियाजानाचाहिए,0.61436343,0.6101304
tifuna mutiwuze ngati pena palakwika,We want to tell us if something goes wrong,हमहमेंबतानाचाहतेहैंअगरकुछगलतहोजाताहै,We want to tell us if something is wrong,हमहमेंबतानाचाहतेहैंअगरकुछगड़बड़है,0.78594875,0.7944747
"musangoyang’anira zolakwikazi, mukanene","Do not be overly critical of them, telling them",उनसेहद - से - ज़्यादाकीमाँगमतकीजिए,"Do not be overly critical of them, telling them",उनसेहद - से - ज़्यादाकीमाँगमतकीजिए,0.5014342,0.5014342
tikuyenera kuyika pa mtima malamulo akampani,We should be honest with the company's laws,हमकंपनीकेनियमोंकेसाथईमानदारहोनाचाहिए,We must be honest with company laws,हमकंपनीकेनियमोंकेसाथईमानदारहोनाचाहिए,0.6884389,0.6884389
"ngati mukuwona kuti wina akuphwanya malamulowa, tsatirani njira zoyenera kuti muzikonze","If you feel that someone is breaking these rules, take appropriate steps to correct them","अगरआपकोलगताहैकिकोईइननियमोंकोतोड़रहाहै, तोउन्हेंसुधारनेकेलिएसहीकदमउठाइए","If you feel that someone is breaking these laws, take steps to correct them","अगरआपकोलगताहैकिकोईइननियमोंकोतोड़रहाहै, तोउन्हेंसुधारनेकेलिएकदमउठाइए",0.8830679,0.784973
"nenani kwa ccd a kampani kapena kwa manijala wowona za compliance wa mu dera lanu, wowona za audit mu bodi ya ma dayilekitala kapena yimbani foni panambala ya ulere (mobisa ngati simukufuna kudziwika)","Talk to a company director or to a local company manager, an auditist in a credit card or phone call on a free telephone (in secret if you don't want to be known)","कंपनीकेनिर्देशकसेबातकरेंयास्थानीयकंपनीप्रबंधकसेबातकरें, एकक्रेडिटकार्डयाफोनपरएकमुफ्तटेलिफोनकॉल (याअगरआपज्ञातनहींहै)","Talk to a company manager or manager of a local company, a credit card expert or a phone call (in secret if you don't want to be known)","एकस्थानीयकंपनीकेकंपनीप्रबंधकयाप्रबंधकसेबातकरें, एकक्रेडिटकार्डविशेषज्ञयाफोनकॉल (गुप्तमेंअगरआपजानानहींचाहतेहैं)",0.8352395,0.804606
musakakamizidwe,Do not be pressured,दबावनहींकियाजासकता,Do Not Be Frightened,निष्कपटमतबनिए,0.56435156,0.5626488
"sikololedwa kuphwanya lamulo, kapena kukakamizidwa kuti mutero – ngakhale kuphwanya lamulo kungathandize kuti mukwaniritse zolinga zanu","not being punished with law, or being forced to do so even if it is illegal can help you reach your goals","कानूनकेमुताबिकसज़ानहींदीजासकती, फिरचाहेवहगैरकानूनीहोयागैरकानूनीहो, आपअपनेलक्ष्योंतकपहुँचनेमेंआपकीमददकरसकतेहैं","Not being disciplined by law, or forced to do so even if it is illegal can help you reach your goals","कानूनकेमुताबिकअनुशासननहींदियाजासकता, फिरचाहेवहगैर - कानूनीक्योंनहो, आपअपनेलक्ष्योंतकपहुँचनेमेंआपकीमददकरसकतेहैं",0.8949988,0.9439746
"tiyi ndi imodzi mwa mbewu zothandiza ku mwera ndi kum'mawa kwa afilika, ndipo imathandiza alimi ambiri kupeza ndalama","A cup of tea is one of the most useful plants in the south and east of a breakfast, and it helps many farmers to earn money","एककपचाय, दक्षिणऔरएकनाश्‍तेकेपूर्वमेंसबसेउपयोगीपौधोंमेंसेएकहै, औरयहअनेककिसानोंकोपैसाकमानेमेंमददकरताहै","A cup of tea is one of the most important plants in the southeast and east of the breakfast, and it helps many farmers to earn money","चायकाप्याला, दक्षिण - पूर्वऔरनाश्‍तेकेपूर्वमेंसबसेमहत्त्वपूर्णपौधेमेंसेएकहै, औरयहअनेककिसानोंकोपैसाकमानेमेंमददकरताहै",0.7653407,0.6305582
"koma ngati alimi satsatira ndondomeko yoyenerera pa ulimi wa mbewuyi, chilengedwe, madzi ndi nthaka zimawonongeka, komanso ogwira ntchito pa mundapo amavutika","On the other hand, if farmers fail to maintain proper order on agriculture, the environment, the water, and the soil are damaged, as well as the work force at the farm","दूसरीओर, यदिकिसानखेती - बाड़ी, वातावरण, पानी, औरमिट्टीकोनष्टकरदेतीहै, औरसाथहीखेतीपरकाम - काजबलकोकमज़ोरकरदेतेहैं","On the other hand, if farmers fail to maintain a proper pattern of agriculture, housing, water, and land, as well as farm workers","दूसरीओर, यदिकिसानखेती - बाड़ी, मकान, पानीऔरज़मीन, साथहीखेतकेमज़दूरोंकाउचितनमूनाबनाएरखनेमेंचूकजातेहैं",0.75411433,0.86313534
choncho ulimi wa tiyi umenewo si umapitiliranso,So the sugar crop is no longer grown,सोगन्‍नेकीफसलअबबढ़गयीनहींहै,So sugar is no longer growing,सोचीनीअबबढ़तीनहींजारहीहै,0.78618073,0.86696965
kugwiritsa ntchito mankhwala si njira yokhayo yotetezela mbewu ku tizilombo ndi matenda,Drug use is not the only way to protect crops against insects and disease,कीड़ोंऔरबीमारियोंसेलड़नेकेलिएदवाओंकाइस्तेमालकरनाहीएकमात्रतरीकानहींहै,Drug abuse is not the only way to protect crops against insects and disease,नशीलीदवाओंकादुरुपयोगकीड़ोंऔरबीमारियोंसेलड़नेकाएकमात्रतरीक़ानहींहै,0.876606,0.8110411
"ngati tiyi akusamalidwa bwino mu afilika, atha kupilira ku tizilombo popanda kuthira mankhwala","If a cup of tea is well cared for, it can be transmitted to insects without being treated","यदिएककपचायकीअच्छीतरहदेखभालकीजातीहै, तोइसेबिनाइलाजकिएकीड़ोंमेंमिलायाजासकताहै","If a cup of tea is well cared for, it can be passed on to insects without treatment","यदिएककपचायकीअच्छीतरहदेखभालकीजातीहै, तोइसेबिनाइलाजकिएकीड़ोंकेपारकियाजासकताहै",0.7891145,0.82716024
kupopera mankhwala kukhoza kuwononga chitetezo cha mbewu ndikupangitsa kuti matenda ayambe,spraying can damage crops's safety and cause disease,जाँचसेफसलकीसुरक्षाभंगहोसकतीहैऔरबीमारीकाकारणबनसकतीहै,Medical treatment can damage crops's safety and cause disease,चिकित्साउपचारफसलसुरक्षाऔरबीमारीकोक्षतिपहुँचासकतेहैं,0.9429086,0.93825024
"mu gawo limeneli, tiphunziramo za m'mene tingapewere matenda ndi tizilombo","in this area, we will learn how to prevent disease and insects","इसक्षेत्रमें, हमरोगऔरकीड़ोंकोरोकनेकेलिएकैसेसीखसकतेहैं","In this area, we will see how we can avoid disease and insects","इसक्षेत्रमें, हमदेखेंगेकिहमरोगऔरकीड़ोंसेकैसेबचसकतेहैं",0.6535841,0.68836504
"ngati mwabzala phata latsopano la tiyi, musankhe mbewu za tiyi zomwe zimapilira ku matenda ndi tizilombo tomwe timaononga tiyi","If you have planted a new cup of tea, choose some tea seeds that are resistant to disease and bacteria that damage a cup of tea","यदिआपनेचायकानयाप्यालालगायाहै, तोकुछचायकेबीजचुनिएजोबीमारीऔरजीवाणुओंसेजूझरहेहैंजोएककपचायकोक्षतिपहुँचातेहैं","If you have planted a new cup of tea, choose sugars that are resistant to disease and bacteria that damage a cup of tea","अगरआपनेएकनयाकपचायबनायाहै, तोऐसेचीनीचुनेंजोबीमारीऔरजीवाणुओंसेजूझरहेहैंजोएककपचायकोनुकसानपहुँचातेहैं",0.9137833,0.9554926
ndibwino kubzala mbewu zambiri za tiyi osakhala imodzi yokha,It is good to plant more than one cup of tea,एकसेज़्यादाचायबनानाअच्छाहै,It is good to eat tea in a few taps,कुछनलमेंचायखानाअच्छाहै,0.68258005,0.76953375
"ngati mwabzala mbewu za tiyi zosiyana, muzibzale mtundu uliwonse padera kuti musavutike pozisamalira","If you have planted different cups of tea, make sure that you have a balanced diet","अगरआपनेचायकेअलग - अलगप्यालेलगाएहैं, तोनिश्‍चितकीजिएकिआपकेपाससंतुलितआहारहै","If they have a wide variety of cups, make sure that you have good food","औरउनकेपासनिगाहेंबचाएरखनेवालीस्त्रियाँहोंगी, जोसमानअवस्थाकीहोंगी",0.7645385,0.82208425
"ngati mundawo unagwidapo ndi matenda owononga mizu, matendawa atha kukhala kuti atsalira mu mitengo imene idakali m'mundamo","If the garden has ever been infected with root disease, the disease may remain in trees still in the garden","अगरबागमेंजड़सेबीमारीफैलीहुईहै, तोयहबीमारीअबभीबागमेंपेड़ोंमेंबनीरहतीहै","If the garden has ever been infected with a root disease, the disease may still be in trees that are still in the field","अगरबागमेंजड़सेबीमारीफैलीहुईहै, तोयहबीमारीउनपेड़ोंमेंभीहोसकतीहैजोआजभीमैदानमेंहैं",0.8496305,0.99932945
"choncho, ndikoyenera kuti matendawa athetsedwe pogwiritsa ntchito njira yosadzula mitengo","Thus, it is only reasonable that the disease will be eliminated by means of a way that does not cut down trees","इसप्रकार, यहकेवलतर्कसंगतहैकिइसबीमारीकोएकऐसेतरीक़ेसेनष्टकियाजाएगाजोपेड़ोंकोकाटनहींडालता","It is wise, therefore, that the disease will be eliminated in a way that does not cut down trees",इसलिएबुद्धिमानीइसीमेंहैकिइसबीमारीकोएकऐसेतरीक़ेसेमिटादियाजाएजोपेड़ोंकोकाटनहींडालता,0.7586913,0.6333595
iyi ndi njira imene mumasadzula makungwa a mtengo,This is the way you cut down the bark of a tree,आपएकपेड़कीछालकाटजिसतरहसेहै,That is how you cut down a tree,"इसप्रकारतुमएकवृक्षकाटरहेहो,",0.65332603,0.71510553
kuphimba tiyi komanso kuonetsetsa kuti phata la tiyi liri pa mlingo wabwino zimathandizila kuti dzuwa lisaombe pa nthaka,Covering a cup of tea as well as making sure that the root of tea is in good condition helps to prevent the sun from beating on the ground,"चायकोएककपसेढकना, साथहीयहनिश्‍चितकरनाकिचायकीजड़अच्छीस्थितिमेंहै, सूरजकोमारनेसेरोकनेमेंमददकरताहै",Cleaning the cup of tea and making sure that the root of tea is safe helps to prevent the sun's rising to the ground,"चायकाकटोरासाफकरनाऔरयहसुनिश्चितकरनाकिचायकीजड़सुरक्षितहै, सूरजकीगर्मीकोज़मीनपरआनेसेरोकनेकेलिएमददकरताहै",0.5747955,0.7737372
izi zimathandizira kuti zomera zosafunikira zisamele,This helps to prevent unwanted plants from growing,यहपौधोंकोबढ़नेसेबचानेमेंमददकरताहै,This helps to protect plants that need not be cultivated,यहपौधोंकीरक्षाकरनेमेंमददकरताहैजिन्हेंविकसितकरनेकीज़रूरतनहींहै,0.61152774,0.6877261
ndibwino kupalira ndi manja chifukwa kupalira ndi khasu kumathanso kuwononga mizu ya tiyi,"It may also be necessary to hold your hands in check, which can damage the roots of tea","यहभीज़रूरीहोसकताहैकिआपअपनेहाथोंकोजाँचकरजाँचकरें, जोचायकीजड़ोंकोक्षतिपहुँचासकताहै","It may also be necessary to put your hands in your shoulders, which can damage the roots of tea","यहभीज़रूरीहैकिआपअपनेकंधोंपरहाथरखें, जिससेचायकीजड़ेंबिगड़सकतीहैं",0.93278,0.8378324
"mbewu zimenezi ndi monga mthuthu (tephrosia vogelli- mtundu wa chomera umene umagwiritsidwa ntchito yopangila mankhwala a m'munda), tagetes minuta (mtundu wa chomera umene uli mgulu la mpendadzuwa), anyezi ndi adyo","These plants include tephrosia vogelli- a plant that is used to make herbs for the field), tagetes minita (a plant that is part of the sun study group), green and green","इनपौधोंमेंसेएकपौधेहैटोसोसोसियावोपौधेजोक्षेत्रकेलिएजड़ी - बूटीबनानेकेलिएप्रयोगकियाजाताहै, टैगकमा (एकपौधाजोसूरजकाअध्ययनसमूहकाहिस्साहै), हराऔरहरा","These plants include tephrosia vogelli- a plant that is used to produce vegetable plants), tageespta (a plant that is part of the sun study group), green and green","इनपौधोंमेंबफलोसियाकापौधाभीशामिलहैजोवनस्पतिपौधोंकोउत्पन्‍नकरनेकेलिएप्रयोगकियाजाताहै, टैगर (एकपौधेजोसूरजकाअध्ययनसमूहकाहिस्साहै), हराऔरहराहरा",0.6038717,0.7551493
"ngati mukuwona kuti mitengo ili ndi ti zilonda pa tsinde ndi nthambi, dziwani kuti izi ndi zizindikiro za matenda owoletsa mitengo","If you see that trees have sores on the roots and branches, be assured that these are symptoms of tree control","अगरआपकोलगताहैकिपेड़कीजड़ेंजड़औरडालियोंपरबहुतभारीहोतीहैं, तोयकीनरखिएकियेपेड़केनियंत्रणकेलक्षणहैं","If you see that trees have sores on roots and branches, be assured that these are signs of tree control","यदिआपदेखतेहैंकिपेड़कीजड़ेंजड़औरशाखाओंपरबुरीतरहगिरीहुईहैं, तोआश्‍वस्तरहिएकियेपेड़नियंत्रणकेचिन्हहैं",0.66414213,0.54053473
awa ndi matenda amene amagwira mtengo kudzela mu tizilonda timene timadza chifukwa chakuti mtengo wakhapidwa,This is a condition that affects a tree in the walls that come out of a cut - out tree,यहएकऐसीस्थितिहैजोदीवारमेंएकपेड़कोप्रभावितकरतीहैजोकाट - काटकेपेड़सेनिकलजातीहै,This is a situation that affects a tree in the walls that come out of a cut - out tree,यहएकस्थितिहैजोदीवारमेंएकवृक्षकोप्रभावितकरतीहैजोकाट - काटकेपेड़सेनिकलजातीहै,0.8021518,0.8494171
mtengo utha kukhapidwa pamene mukupalira ndi khasu komanso tizilombo ndi makoswe zitha kubowola mtengo,A tree can be cut down as you cry out to the ground as well as insects and rats can break down a tree,एकपेड़कोकाटदियाजासकताहैऔरआपज़मीनपररोरहेहैंऔरकीड़ेऔरचूहेपेड़कोतोड़सकतेहैं,A tree can be cut down as you cry out on the ground along with insects and rats can break down a tree,एकपेड़कोकाटदियाजासकताहैजबआपकीड़े - मकौड़ोंऔरचूहेकेसाथज़मीनपरचिल्लारहेहोतेहैं,0.64038986,0.5490821
"kuti muthane ndi udzudzu wa tiyi, mukuyenera kutchola masamba anthete a tiyi ndikusiya masamba okhwima","To fight a tea mosquito, you must dry the young tea leaves and leave mature leaves","चायकेमच्छरोंसेलड़नेकेलिए, आपछोटेचायकीपत्तियाँसुखानाऔरप्रौढ़पत्तोंकोछोड़देनाचाहिए","To fight a tea mosquito, you must clean small tea leaves and leave behind large leaves","चायकेमच्छरोंसेलड़नेकेलिए, आपकोछोटेचायकीपत्तियाँसाफकरकेबड़े - बड़ेपत्तोंकोछोड़देनाचाहिए",0.7537061,0.6490439
"potchola masamba onse anthete amene amadyedwa ndi udzudzu wa tiyi, zimathandiza kuti udzudzuwu usapitilire","When all the young leaves eaten by a tea mosquito, they keep the mosquito alive","जबसभीयुवाचायकेद्वाराखायाजाताहै, तोवेमच्छरकोजीवितरखतेहैं","When all small leaves are eaten by a tea mosquito, the mosquitoes are alive",मच्छरोंकाशिकारहोनेपरमच्छरज़िंदारहतेहैं,0.8823672,0.9245013
mbalame zina zimadya tizilombo ndikuchepetsa chiwerengero chatizilomboti,Some birds feed on insects and reduce their number of species,कुछपक्षीकीड़ेखातेहैंऔरउनकीसंख्याकमहोतीहै,Some birds feed on insects and reduce their species,कुछपक्षीकीड़ेखातेहैंऔरअपनीजातिकोकमकरतेहैं,0.7787825,0.556705
mukapopela mankhwala tizilombo pamodzi ndi mbalame zomwe zimafa,Carding insects along with birds who die,कीड़ोंकेसाथ - साथपक्षियोंकोभीजानाजाताहैजोमरजातेहैं,Carrying insects along with birds who die,कीड़ोंकेसाथ - साथपक्षियोंकोभीइकट्ठाकरनाजोमरजातेहैं,0.5738065,0.5473133
"posapopela mankhwala, mumateteza mbalamezi zimene zimathandiza pochepetsa tizilombo","Without the aid of chemicals, you protect the birds that help control insects","रसायनोंकीमददकेबिना, आपउनपक्षियोंकीरक्षाकरतेहैंजोकीड़ोंकोकाबूमेंरखनेमेंमददकरतेहैं","Without drugs, it protects birds that help protect insects",यहउनपक्षियोंकीरक्षाकरताहैजोकीड़ोंकीरक्षाकरतेहैं,0.81668556,0.78992987
"mukatha kupopera mankhwala, muyenera kutsuka zipangizo zothiririra mankhwala ndi zozitetezera","After the spraying is done, you need to wash the equipment and the protection system","जबबुखारकमहोजाए, तोआपकोउपकरणऔरसुरक्षाप्रणालीकोधोनेकीज़रूरतहै","After the removal, you need to wash the utensils and the system of defense","हटानेकेबाद, आपकोबरतनोंऔररक्षाप्रणालीकोधोनेकीज़रूरतहै",0.896654,0.9319462
"madzi otsukira amatsalira mankhwala, ndiye ngati simusamala, akhoza kuononga chilengedwe","A solution is left, and if you don't take care of it, it can ruin the environment","समाधानबचाहै, औरयदिआपइसकीपरवाहनहींकरतेहैं, तोयहपर्यावरणकोनष्टकरसकताहै","The solution remains, and if you do not take care of it, it can ruin the environment","समस्याबनीरहतीहै, औरयदिआपउसकीदेख - रेखनहींकरते, तोयहपर्यावरणकोनष्टकरसकताहै",0.9557948,0.9579042
"mukapopera mankhwala m'madimba a masamba, tsukani zida ndikuthira madzi m'dimba momwemo","If you pump chemicals into leaf gardens, wash weapons and pour water into the garden","अगरआपरसायनोंकोपत्तेकेबागमेंबिछातेहैं, तोहथियारधोइएऔरबागमेंपानीदीजिए","If you water the leaf fields, wash weapons and pour water into the garden","यदितूपत्तेकेखेतोंकोजलसेसींचे, तोहथियारधोकरबारीमेंजलभरदे।",0.77109444,0.79095036
"mukapopera mankhwala zifuyo, tsukani zida ndikutaya madzi mdzala/mdzenje","If you spray up animals, wash weapons and throw water into a hole","यदिआपजानवरोंकोफोड़तेहैं, हथियारधोतेहैंऔरएकछेदमेंपानीफेंकदेतेहैं","If you swallow meat, wash weapons and throw water into a pit","यदितूमांसनिगलजाए, तोहथियारधोकरगड़हेमेंजलफेंकदे",0.75544906,0.4996407
mdzenje muyenera kudzadza makala omwe amathandiza kuyeretsa madzi,You need to fill a hole with lead that helps clean up water,आपकोएकछेदकोऐसेलेजानेकीज़रूरतहैजोपानीकोसाफकरनेमेंमदददेताहै,You must fill a lead - rich hole that helps clean up water,आपकोएकऐसाबड़ाछेदभरनाहोगाजोपानीकोसाफकरनेमेंआपकीमददकरताहै,0.70312226,0.7608212
osadula mitengo yachilengedwe kuti mupange makala,Do not cut down natural trees to make lead,अगुवाईकरनेकेलिएप्राकृतिकपेड़ोंकोकाटनदीजिए,Do not cut down forest trees to make lead,मार्गबनानेकेलिएवनपेड़काटनहींहै,0.65956795,0.98564833
kumbukiraninso kuchapa zovala zozitetezera,"Remember, too, the washing of protective clothes","साथही, सुरक्षितकपड़ेधोनेकोभीयादरखिए","Remember, too, the washing of protective clothing",यहभीयादरखिएकिसुरक्षाकेकपड़ेधोनेकीआदत,0.736652,0.82073534
madzi ochapira atayidwe monga tafotokozera pamwambapa,"Washed water, as mentioned above","जैसेऊपरबतायागयाहै, जलधोइए","Water for bathing, as mentioned above","जैसेऊपरबतायागयाहै, नहानेकेलिएपानी",0.83872855,0.5356285
