chichewa,english
"39,"" cholinga chake ndi kupatsa mphamvu anthu a m’dera la gvh chanika kupanga chiganizo ndi kutenga udindo komanso kupititsa patsogolo umodzi pa chitetezo, chisamaliro ndi kugwiritsa ntchito mosamala zinthu zonse zochokera m’nkhalango ya mu buloko ya chanika kuti adzapezenso zina mtsogolo""","39,"" the aim is to empower the people of gvh chanika to make decisions and take responsibility for and promote collective action for protection, management and sustainable utilisation of their forest block"""
"40,izi ndi zogwirizana ndi mfundo ya zankhalango ya boma lamalawi imene idakhazikitsidwa m’chaka cha 1996","40,this is in line with the malawi national forestry policy of 1996"
"41,mfundoyi imanenetsa za kufunika kopatsaeni dera udindo waukulu wosamalira nkhalango ndi kukhala ndi mwayi womagwiritsa ntchito mitengo ndi zonse za m’nkhalangomo","41, which recognises the need for communities to be given a greater role in the management of forests and access to forest resource"
"42,""ndondomeko yokonzekera, kudziwitsana ndi kufunsira, komanso kukambirana pachikonzero chosamalira nkhalangoyi idavomerezedwa ndi anthu onse okhudzidwa m’derali""","42,""the output of the process of planning, consultation and negotiation is this block management plan which was agreed by key stakeholders of the area"""
"43,""ntchito yonseyi anthu amatengapo mbali ndi cholinga chokhazikitsa kusabisirana pa zochitika zonse, kuti chikonzekero chikhale chofuna anthu komanso kuti onse akalandire maudindo mosaona kuti ndi mkazi kapena mwamuna""","43,"" the process was participatory with the aim of being people – centred, transparent, equitable and empowering"""
"44,ndondomekoyi imakhazikitsa malamulo oyenera ku anthu a derali ndiponso malamulo amene ndi osavuta kutsatira kuti athandize pa chitetezo ndi chisamaliro cha ntchito yoona za nkhalango m’dera la chanika komanso kuti pakhale phindu la lero ndiponso la mtsogolo","44,it includes resource use rules which are locally relevant and locally enforceable to assist protection and management of the block for both the present and future benefit of chanika community"
"45,kuteteza nthaka yonse yozungulira imene ndi gwero la mitsinje komanso imene imapereka madzi","45,to protect fragile and catchment areas"
"46,kuti pakhale chisamaliro chokwana pa udzu ndi msipu wosiyanasiyana umene umamera m’mphepete mwa mitsinje","46,to protect river line vegetation"
"47,kutukula miyoyo ya anthu okhala mwa gvh chanika popeza zinthu zogulitsa zochokera m’nkhalango","47,to improve the economic status of gvhchanika community through sales of forest products such as fuelwood and poles"
"48,kuti anthu azipanga zinthu zooneka bwino pogwiritsa ntchito mitengo ndi zina zochokera m’nkhalango","48,to produce forest products of high quality"
"49,kuteteza udzu ndi zomera zobiriwira za m’mphepete mwa timitsinje ndi cholinga chofuna kuti madzi aziyenda chaka chonse kuti anthu azigwiritsa ntchito pa ulimi wa mthirira ndi ntchito zina za makomo","49,to conserve river line vegetation so that water flow throughout the year for agriculture irrigation and domestic use"
"50,kuteteza kukokoloka kwa nthaka imene ili malo ozyolika [opendekeka kwambiri]","50,to protect steep slopes"
"51,kulimbikitsa chitetezo ndi chisamaliro cha nyama za m’tchire ndi maluwa a m’thengo","51,to promote conservation of wild life and flora"
"52,kupititsa patsogolo ntchito yotulutsa zinthu zabwino zochokera m’nkhalango kuti anthu azigwiritsa ntchito m’makomo ndi zina zokagulitsa","52,to promote the production of high quality forest resource products to be used for domestic and sales"
"53,kuteteza mitengo ndi nthaka ku madera onse amene ndi magwero a mitsinje kuzungulira derali","53,to protect steep slopes from soil erosion"
"54,kuteteza za chilengedwe zimene zili mphepete mwa mitsinje","54,to protect river line vegetation"
"55,kugulitsa zina mwa zinthu zochokera m’nkhalango mwadongotsolo ncholinga chotukula miyoyo ya anthu","55,to sell some of the forest products in a sustainable manner in order to uplift our livelihoods"
"56,kupezeka kwa ndalama m’makomo zochokera m’nkhalango","56,presence of money in our household from forest products"
"57,kuchuluka kwa mitengo mphepete mwa mitsinje","57,the number of trees along stream banks"
"58,kukula kwa dera lopanda chitetezo ndi kukula kwa malo amene ndi gwero la mitsinje kuzungulira derali","58,the size of fragile area eroded"
"59,kulemba zokambirana pa nthawi ya misonkhano uliwonse (maminitsi)","59,convening and conducting meetings"
"60,kulemba makalata oitana anthu pakafunika misonkhano","60,developing agenda for discussions"
"61,kuwerenga maminitsi a mfundo zonse za msonkhano umene udachitika m’mbuyo mwa msonkhano","61,develop the action plan for forestry activities"
"62,umene ukufuna kuchitikawo","62,making sure that the constitution is followed"
"63,kukhala m’modzi wa osainira pakakhala zinthu zofunika kutapa ndalama ku banki","63,be a bank signatory"
"64,kulondoloza ndi kulinganiza zimene msungi chuma akulemba","64,informing other interest parties on the progress of work"
"65,kulemba ndi kusunga zolembedwa za katundu yense wa gululi","65,delegating other members to perform other duties"
"66,akhale wodziwa kulemba ndi kuwerenga","66,must know how to read and write"
"67,akhale wachidwi ndi ntchito zankhalango","67,must have an interest in forestry activities"
"68,akhale wochokera mwa a gvh chanika","68,must be from gvh chanika"
"69,akhale osamangidwapo","69,must not be a convict"
"0,""mongoyelekeza, mwayenda mtunda wautali bwanji kuti mufike kuno?""","0,about how far did you travel to get here?"
"1,""mongoyelekeza, zinakutengelani nthawi yayitali bwanji kuti mufike kuno?""","1,about how much time did it take you to get here?"
"2,ndi ndani amene anakupelekezani?","2,who accompanied you?"
"3,alipo amene anakupelekezani?","3,did anyone accompany you here today?"
"4,""nanga zokhuza inuyo, mbiri yanu?""","4,and what about you yourself? your background?"
"5,kodi ndinu a mtundu wanji?","5,what tribe do you belong to?"
"6,kodi ndi ziyankhulo ziti zimene mukhonza kuyankhula bwinobwino?","6,what languages can you speak well enough to have a conversation?"
"7,ndi anthu angati kuphatikizapo inuyo amene amagona mnyumba mwanu nthawi zambiri?","7,""how many people, including yourself, usually sleep in your household?"""
"8,ndi ana angati omwe ali ndi zaka zosaposera 15?","8,how many of these are children under the age of 15?"
"9,ndi angati achikulire ali oposera zaka 64?","9,""how many are elderly, over age 64?"""
"10,ndi angati omwe ali ndi zaka pakati pa 15","10,how many are between the ages of 15 and 64?"
"11,munabadwa chaka chanji?","11,when were you born?"
"12,mumakhala mudzi wanji?","12,in which village do you live?"
"13,mudzi umenewo uli m'balaka muno?","13, is this in balaka district?"
"14,""kodi umewu ndi mzinda, tauni, trading centre kapena ndi mudzi?""","14,"" is this a city, town, trading centre or village?"""
"15,mumatenga nthawi yaitali bwanji kuh muyende kukafika ku trading centre imene muli nayo pafupi?","15,how long does it take you to walk to the nearest trading centre?"
"16,kodi chibadwireni mwakhala mull m'dera limeneli?","16,have you always lived in the current location?"
"17,mwakhala nthawi yaitali bwanji kudelalino?","17, how long have you lived here?"
"18,ndi chifukwa chiti chenicheni chomwe munasamukira kudelalino?","18,what was the main reason you moved here?"
"19,kuyambira pomwe munali zaka zisanu ndimadera ena angati asiyanasiyana amene mwakhalako kwa miyezi itatu kapena kuposera apo?","19,""since you were five years old, in how many different locations did you live for three months or more?"""
"20,kodi munalekaza kalasi/fomu iti?","20,what was the last standard/ form that you completed?"
"21,kodi pakali pano muli pa sukulu?","21,are you currently enrolled in school?"
"22,tsopano tisewela masewela","22,now we are going to play a game"
"23, ndiwelenga manambala ena kwa inu kamodzi kokha","23, i will read some numbers to you one time"
"24, ndidzadikira kwa kanthawi pang'ono kenako ndidzakufunsani kuti mubweleze ma nambalawo","24, i will wait a little and ask you to repeat them"
"25, mwakonzeka kuti tiyambe?","25, are you ready to start?"
"26,nthawi yomaliza imene munabwera kuno munandifotokozera za ana anu","26,""last time you were here, you told us about your children"""
"27, tsopano ndikufunsani za ana amenewa komanso za ana ena amene muli nawo kapena mwakhala nawo","27, i'm going to now ask you about the children you told me about as well as any new children you may have had"
"28, ndikufuna ndi dziwem'ndandanda wa ana onse amene munabereka amoyo","28, i would like to have a complete list of all the children you have ever had who were born alive"
"29,chonde ndiwuzeni dzina/maina a anawa","29,please tell me the all the children's names"
"30,kodi [dzina] ndi wamkazi/wammuna?","30,is [name] male or female?"
"31,kodi [dzina] anabadwa mwezi ndi chaka chiti?","31,in what month and year was [name] born?"
"32,kodi dzina la bambo ake a(dzina) omubeleka ndi ndani?","32,what is the name of [name's] biological father?"
"33,kodi dzina la bambo ake a(dzina) omubeleka ndi ndani?","33,what is the name of [name's] biological father?"
"34,kodi bambo ake a(dzina) omubeleka mumakhala nawo nyumba imodzi?","34,is the biological father living in the household?"
"35,""kodi mwanayu anabadwira kunyumba, kuchipatala, kapena kwina kwake?""","35,""was this child born at home, in a hospital/clinic, or somewhere else?"""
"36,sikelo yake [dzina] inakwana bwanji atangobadwa?","36,how much did [name] weigh at birth?"
"37,kodi munalandira mphatso ya ndalama kuchokera ku chipatala nthawi imene munali ndi mimba kapena atabadwa mwanayu?","37,did you receive any gift in form of money from hospital during pregnancy or when you gave birth?"
"38,kodi munalandira mphatso ya ndalama zingati?","38,how much money did you receive?"
"39,kodi munapeleka chindapusa kwa amfumu chifukwa chamimbayi kapena mutabeleka mwanayu?","39,did you get fined by the chief for anything having to do with this pregnancy or birth?"
"40,kodi amfumu anakulipitsani chindapusa chandalama zingati?","40,how much did the chief fine you?"
"41,ndi chifukwa chani anfumu anakulipitsani chindapusa?","41,why did the chief fine you?"
"42,chifukwa chani [dzina] sakhala ndi inu?","42,why isn't [name] living with you?"
"43,wabwino koposa","43,excellent"
"44,bwino kwambiri","44,very good"
"45,bwino","45,good"
"46,choncho","46,fair"
"47,suli bwino konse","47,poor"
"48,kodi mungasiyanitse motani umoyo wa [dzina] ndi anthu ena a m’mudzi mwanu omwe akufanana nawo zaka?","48,how would you compare [name]'s health to other people of the same age and sex in your village?"
"49,uli bwino kwambiri","49,much better"
"50,uli bwino ndithu","50,better"
"51,siunasinthe","51,same"
"52,siwuli bwino","52,worse"
"53,siwuli bwino konse","53,much worse"
"54,""pa masabata awiri apitawa [dzina], anadwalapo chifuwa chophatikizana ndi kubanika?""","54,""in the past two weeks, has [name] had a cough that is accompanied with short rapid breathing?"""
"55,pa masabata awiri apitawa [dzina] anatenthapo thupi?","55,""in the past two weeks, has [name] had a fever?"""
"56,kodi (dzina) alipa sukulu?","56,is [name] enrolled in school?"
"57,kodi (dzina) anayamba sukulu ali ndi zaka zingati?","57,at what age did [name] first go to school?"
"58,ndi ana angati onse amene munabelekapo chiyambile kuphatikizilapo omwe anamwalira?","58,""and how many children have you ever given birth to, including ones that may have died?"""
"59,kodi pakali pano ndinu oyembekezera?","59,are you pregnant now?"
"60,ndinu oyembekezera kwa miyezi ingati?","60,how many months pregnant are you?"
"61,""nthawi zina amayi amakhala oyembekezera ndipo amatha kupita padera, komaso nthawi zina amasankha kuchotsa pathupi""","61,sometimes people get pregnant and lose the baby while pregnant and sometimes they decide not to have the baby"
"62,"" ndili ndi chidwi ndi nthawi zonse zomwe munazindikira kuti mwakhala oyembekezera zimene simunabeleke mwana wa moyo kuphatikizapo kupita padera kutaya mimba ndi kubeleka mwana wakufa, chonde mungandiuzeko za mimba zimenezi kuchokera chaka cha 2012?""","62,"" i am interested in all the times you've known you were pregnant that did not end in a live birth, including any miscarriages, abortions, and still-births"""
"63,kupita padera","63, could you please tell me about these pregnancies since 2012?"
"64,kutaya pathupi","64,miscarriage"
"65,ntayo","65,abortion"
"66,funsoli likufunsa za njila zolerera","66,stillbirth"
"67,"" izi zikhoza kukhala makondomu, mapilitsi, jekeseni, norplant kapena kutseka kwa abambo kapena amai kapena njira ina iri yonse yoteteza kuti musatenge mimba""","67,this question asks about contraception"
"68, mwezi omwe ndinatenga mimba","68,"" this might include condoms, pills, injections, implants, coils, vasectomy, female sterilisation or any other method aimed at delaying pregnancy"""
"69,mafunso angapo otsatilawa ndi okhudza inuyo musanakhale ndi mimba","69, in the month that i became pregnant"
"70,ndinali ndi cholinga chotenga mimba","70,the next few questions ask about before you became pregnant"
"71,ndinkasinthasintha maganizo","71,i intended to get pregnant"
"72,ndinalibe cholinga chokhala ndi mimba","72,my intentions kept changing"
"73,ndimafuna kukhala ndi mwana","73,i did not intended to get pregnant"
"74,ndinali ndi maganizo osiyanasiyana pa zokhala ndi mwana","74,i wanted to have a baby"
"75,sindimafuna kukhala ndi mwana","75,i had mixed feelings about having a baby"
"76,kodi mungakonde mutadikira nthawi yaitali bwanji musanabereke mwana wanu woyamba/wotsatira?","76,i did not want to have a baby"
"77,pompano/posachedwa pa","77,how long would you like to wait before having your first/next child?"
"78,pasanathe zaka ziwiri","78,as soon as possible"
"79,zaka ziwiri kufikira zitatu","79,less than two years"
"80,zaka zitatu kufikira zaka zinayi","80,two to three years"
"81,zaka zinayi kufikira zaka zisanu","81,three to four years"
"82,zaka zisanu kapena kuposela apo","82,four to five years"
"83,mulimonse/nthawi ina iliyonse","83,five or more"
"84,mwamuna wanu wapeza ntchito yamalipiro abwino ndi yokhazikika","84,no preference"
"85,mwapeza ntchito yamalipiro abwino ndi yokhazikika","85,your husband gets a job with a good steady salary"
"86,mwamva mphekesera yoti mwamuna wanu akugonana ndi akazi ena","86,you get a job with a good steady salary"
"87,mwamuna wanu akufuna ana ocheperapo kuposa omwe inu mukufuna","87,you hear rumors that your partner is sleeping with other women"
"88,mwana wanu wamng'ono kwambiri akudwala mwakayakaya","88,your partner wants fewer children than you do"
"89,muli ndi ana amuna okha okha","89,your youngest child is seriously ill"
"90,muli ndi ana akazi okha okha","90,you have only male children"
"91,mayi anu akudwala mwakayakaya","91,you have only female children"
"92,mayi anu amwalira","92,your mother becomes seriously ill"
"93,mwazindikira kuti muli ndi hiv koma mulibe zizindikiro zilizonse","93,your mother passes away"
"94,ndikufuna ndidziwe zochitika m’moyo wanu","94,you learn that you have hiv but don't have any symptoms"
"95,","95,i am interested in your general level of well-being or satisfaction with life"
"96,""poganizira zinthu zonse, kodi ndinu wokhutira bwanji ndi moyo wanu?""","96,""how satisfied are you with your life, all things considered?"""
"97,""kodi mukuganiza kuti ndinu okhutitsidwa kwambiri, chimodzimodzi kapena pang'ono poyelekeza ndi anthu ena amene mukufanana nawo zaka a m'mudzi mwanu?""","97,""do you think that you are more, equally or less satisfied than other persons your age living in your village?"""
"98,ndinali okhumudwa","98,i have felt depressed"
"99,ndimaona ngati bola ndidakangofa","99,i have felt life was not worth living"
"100,ndinali okwanilitsidwa","100,i have felt content"
"101,pafupipafupi kwambiri","101,very often"
"102,pafupipafupi","102, fairly often"
"103,nthawi zina","103,sometimes"
"104,pafupifupi sizinachitikepo","104, almost never"
"105,sizinandichitikilepo","105,never"
"106,ndinagokhala ndekha ndekha","106,i have felt lonely"
"107,ndalephera kuwongolela zinthu zofunika pa moyo wanga","107,i have felt unable to control the important things in my life"
"108,ndimazikhulupilira kuti ndili ndi kuthekera kothana ndi mavuto anga","108,i have felt confident about my ability to handle my personal problems"
"109,kodi ndi anthu angati amene mwagonana nawo chiyambire kuchita zogonana?","109,how many people overall have you ever had sex with in your lifetime?"
"110,ndiye mukuti simunagonane ndi wina aliyense?","110,""so, you’re saying you’ve never had sex?"""
"111,kodi kuyamba kugonana ndi munthu munagonana naye muli ndi zaka zingati?","111,how old were you when you first had sex?"
"112,kodi mzanuyu ali ndi ana pakali pano?","112,does she currently have any children?"
"113,kodi pakalipano ndiwoyembekezera?","113,is she currently pregnant?"
"0,kwabwera mwana wodzakhala m’nyumba mwanu?","0,had a child come to stay in your house?"
"1,ukwati wanu watha kapena mwasiyana ndi akazi anu?","1,have you divorced or separated from your spouse?"
"2,munamvetsedwa kuti mwapeleka mimba?","2,have you learned that you got someone pregnant?"
"3,mwasamukira kunyumba yabwinoko?","3,have you moved to a better house?"
"4,mwasamukira kunyumba yosakhala bwino?","4,have you moved to a worse house?"
"5,mwafunsilapo mkazi wina?","5,have you proposed a woman?"
"6,munazizwa nazo?","6,was it a surprise?"
"7,kwabwera anthu ena achikulire odzakhala m’nyumba mwanu?","7,had other adults come to stay in your house?"
"8,mwana wanu anamwalira","8,death of a child"
"9, kumwalira kwa makolo","9,death of a parent"
"10,kumwalira kwa nzanu wapamtima","10,death of a close friend"
"11, kumwalira kwa mchimwene/mchemwali wanu","11,death of a sibling"
"12, kumwalira kwa munthu wina okhala mnyumba mwanu?","12,death of other household member"
"13, akazi/chibwenzi chanu chasamukila kukakhala kuntchito","13,has your spouse or partner migrated for work?"
"14,umoyo wanu wanthupi wapita patsogolo?","14,has your health improved?"
"15,umoyo wanu wanthupi walowa pansi?","15,has your health declined?"
"16,mwakumana ndi vuto lochepa chakudya mnyumba?","16,have you experienced a shortage of food in your household?"
"17,kodi mwamva mphekesela yoti akazi/chibwenzi chanu akuyenda ndi amuna ena?","17,have you heard rumors that your partner is having other partners?"
"18,kodi kulemela kwathupi lanu kwasika?","18,have you lost weight?"
"19,kodi kulemela kwathupi la akazi/chibwenzi chanu kwasika?","19,has your spouse started losing weight?"
"20,mkazi/chibwenzi chanu chatisiya/chamwalira?","20,have you experienced the death of a spouse or partner?"
"21,mwapeza ntchito yabwino","21,have you found a better job?"
"22,kodi pali wina aliyense mnyumba mwanu yemwe wakhudzidwapo ndi ufiti?","22,has anyone else in your household been affected by witchcraft?"
"23,kodi akazi/chibwenzi chanu chidakhudzidwapo ndi ngozi iliyonse?","23,has your spouse had any injury or accident?"
"24,kodi akazi/chibwenzi chanu chakhala chikudwala?","24,has your spouse or partner been ill?"
"25,kodi akazi/chibwenzi chanu apeza ntchito yabwino?","25,has your spouse or partner found a good (better) job?"
"26,""chanu chachoka pantchito, chasinthidwa kapena wapeza ntchito yosakhala bwino""","26,""has your spouse or partner lost a job, or moved to a worse job?"""
"27,kodi akazi anu/chibwenzi chanu anapita pachabe?","27,has your spouse/partner had a miscarriage?"
"28,kodi akazi anu/chibwenzi chanu anataya mimba?","28,has your spouse/partner had an abortion?"
"29,munagonekedwa kuchipatala?","29,have you been hospitalized?"
"30,kodi mwakakamizidwa ndi abale anu kuti mukhale ndi ana?","30,have you experienced pressure from relatives to have children?"
"31,munavulala kapena kuchita ngozi?","31,have you had any injury or accident?"
"32,munadwalapo malungo?","32,have you had malaria?"
"33,wakumanako ndi vuto lolipira fizi?","33,have you had problems paying your school fees?"
"34,wakumanako ndi vuto kusukulu?","34,have you had trouble in school?"
"35,ntchito; kapena mwapeza ntchito yosakhala bwino","35,have you lost your job; or moved to a worse job?"
"36,munakhudzidwapo ndi ufiti?","36,have you personally been affected by witchcraft?"
"37,mwafunsirapo ukwati?","37,have you proposed marriage?"
"38,kudwala kwa mwana","38,illness of child"
"39,kudwala kwa makolo?","39,illness of parent"
"40,kudwala kwa mchimwene kapena mchemwali?","40,illness of sibling"
"41,munadalitsa ukwati?","41,have a religious ceremony?"
"42,munachita chinkhonswe?","42,have a traditional ceremony?"
"43,munangotengana/munangolowana?","43,just move in together?"
"44,munadulitsa ntchatho?","44,register your marriage w/ the government?"
"0	,	he lamp is lit","0,	nyali yawala"
"1	,	bright indeed is the lamp","1,	y awaladi nyali"
"2	,	the darkness has disappeared","2,	m'dima wathawa"
"3	,	the cockerel crows thinking it's dawn","3,	tambala walira nayesa kunja kwacha"
"4	,	the dazzling light has reached him","4,	kuwala kodabwitsako kwamufikira"
"5	,	alas! he loves darkness","5,	zachisoni iye wakondadi m 'dima"
"6	,	he has no peace of mind","6,	mwake mumtima mtendere umusowa"
"7	,	he is sleepless like a bird without a nest","7,	monga mbalame yopanda chisa tulo alisowadi"
"8	,	with hate he tries to extinguish the lamp","8,	monyansidwa ayesayesa kuthimitsa nyaliyo"
"9	,	his is the darkness, he says","9,	wake mdima akutero"
"10	,	today we are genuine citizens","10,	lero ndife afulu enieni"
"11	,	lsn 't this the way to live?","11,	kukhala sikumeneku anthuni?"
"12	,	where were you lamp?","12,	unali kuti nthawi yonseyi?"
"0	,	wopanda ulemu ndipo wosayamika","0	,	without respect nor gratitude"
"1	,	ndifetu a malawi","1	,	it's us malawians"
"2	,	lathu dziko ngwazi ndiye walikwezadi","2	,	the ngwazi has indeed developed our country"
"3	,	yathu miyoyo ndiye watukuladi","3	,	raised our welfare"
"4	,	koma lero kumtoso ndiye tikumtengera","4	,	yet today we are treating him with contempt"
"5	,	monga a njoka maliro m 'malo momthokoza","5	,	instead of gratitude"
"6	,	kodi kukhala ndi choncho?","6	,	is this the way things ought to be?"
"7	,	tayamba kuluma dzanja","7	,	we have started biting the hand that is feeding"
"8	,	lotidyetsa, kupanda pabwino!","8	,	us, what ingratitude!"
"9	,	chifukwa chati mbee! sichinapse/","9	,	for what looks partially ripe is not ripe/"
"10	,	ndipo chati thubwi, sichinaoloke","10	,	and what makes a sinking noise has not yet crossed the water"
"0	,	kodi onsewa sanali mommuno","0	,	weren't all these people here"
"1	,	bwanji sanaonetse chawo chamuna","1	,	why didn't they show their mettle"
"2	,	pothyola chonyansacho chitaganya","2	,	by destroying the stinking federation"
"3	,	bwanji sanajune kulimbana ndi azungu aja","3	,	why didn't they want to fight the white man"
"4	,	ndikuwagonjetsa?","4	,	and defeat him?"
"5	,	kodi kumeneku sikukolola posadzala?","5	,	isn't this reaping where they did not sow?"
"6	,	mphanje ngwazi anathyola, nsinga nadula,","6	,	ngwazi cleared the forest, destroyed colonial bondage"
"7	,	yao miyoyo ndi dziko natukula","7	,	raised people's lives and developed the country"
"0	,	anthuni","0	,	(you people"
"1	,	lmvani","1	,	listen"
"2	,	lero ndafuna ndikuuzeni","2	,	today i would like to tell you"
"3	,	za m 'nyamata wina","3	,	about a certain boy"
"4	,	yemwe lake dzina, kalua","4	,	whose name is kalua)"
"5	,	mnyamatayi","5	,	(this boy"
"6	,	omudziwa bwino akuti","6	,	those who know him well say"
"7	,	ake malonda anali","7	,	his trade was"
"8	,	ogulitsa chamba","8	,	selling cannabis"
"9	,	ndi mankhwala ena owononga bongo","9	,	and other drugs)"
"10	,	anthuni","10	,	(people"
"11	,	mosayembekeza","11	,	suddenly"
"12	,	lero mnyamatayi","12	,	today the boy"
"13	,	akuti tizilemekeza kamuzu","13	,	says we should respect kamuzu"
"14	,	pamene iye ankatukwana yomweyo","14	,	when he himself used to insult the same"
"15	,	kamuzu","15	,	kamuzu)"
"16	,	kodi tilakwa","16	,	will we be wrong"
"17	,	tikaganiza kuti mnyamatayi","17	,	to think that the fellow"
"18	,	wagulidwa ndi kongeresi","18	,	has been bought by congress"
"19	,	kapena kuti amatukwana","19	,	or that he was broadcasting his insults"
"20	,	pa channel africa chili boo-boo!","20	,	on channel africa when high"
"21	,	m'mutu chamba","21	,	on cannabis"
"0	,	kwezani maso a malawi","0	,	raise your eyes malawians"
"1	,	kukwezera ku tsikulo","1	,	raise them to the day"
"2	,	zamitsani nzeru inu","2	,	get wise"
"3	,	usapite wotere mwayi makosana","3	,	don't let this chance pass you by"
"4	,	zidze pano nzatonse nthuni","4	,	what comes today is for everybody"
"5	,	mosasamala anasankha oziyelekera ubwino","5	,	(carelessly elected self-righteous leaders"
"6	,	atilangitsa ife - atipweteka","6	,	they have punished us - they made us suffer)"
"7	,	taphedwa mokwana, tamangidwa mokwana","7	,	(we have been killed enough, we have been arrested enough"
"8	,	ali kuti malume ngati sali kuli chete","8	,	where is my uncle if not at the cemetery)"
"9	,	tisakanganenso za zipani tiyeni tiganize mwakuya","9	,	we should not argue about parties let's think seriously"
"10	,	papita pokambakamba tsono tisankhe","10	,	time for debate is past, now let's choose"
"11	,	tengani mbali pokonza tsogo/o","11	,	take part in creating a future"
"12	,	tsogolo lopatsa chidwi ndinso laufulu","12	,	an exciting future but also a peaceful one"
"0	,	chitukuko chachitikadi","0	,	development has indeed taken place"
"1	,	chitukuko chake chosaoneka","1	,	unseen development"
"2	,	tiyeni tiwone za chitukukochi","2	,	let us analyze this development"
"3	,	chitukuko cha bakili","3	,	bakili's development"
"4	,	kusowa kwa mankhwala m 'zipatala","4	,	(lack of drugs in hospitals"
"5	,	jcho ndicho chitukuko choyamba","5	,	this is the first development"
"6	,	kuchedwa kwa malipiro a aphunzitsi","6	,	delays in teachers' salaries"
"7	,	chitukuko cha bakili","7	,	bakili's development"
"8	,	chitukuko chanji chokhalira kuyendayenda","8	,	(what sort of development is this when you are always on the road"
"9	,	chitukuko chogula ma mp m 'malo mwa chimanga","9	,	you 'buy' mps instead of maize"
"10	,	zikakhala zokonza misewu taiwala","10	,	if it's road construction we forgot about it"
"11	,	aah! !chi sichitukuko koma kampeni","11	,	this is not development but campaigning"
"12	,	chitukuko cha bakili, uuuu!","12	,	bakili's development, uuuu!"
"13	,	zinthu zatotanidyee?","13	,	what has happened?"
"0	,	mwachitanji nanga","0	,	what have you done"
"1	,	poti 1999 ija yafika","1	,	since 1999 is here"
"2	,	munkati tikumvetsani","2	,	you said we will feel your presence"
"3	,	mukubwebwetuka ndi mapulani a chitukuko","3	,	when you were mouthing your development plans"
"4	,	nanga mwachitanji?","4	,	what have you done?)"
"5	,	suuja munkati kulibe misewu kukhale misewu","5	,	didn't you say where there were no roads there'll be roads"
"6	,	nanga muvotere yani a malawi","6	,	who are you going to vote for malawians"
"7	,	pott 1999 yafika","7	,	since 1999 is here"
"8	,	mwachitanji anzanga?","8	,	what have you done my friends?"
"0	,	potitu kumudzi kuno","0	,	since here in the village"
"1	,	deya ndiye watikola","1	,	we are fed up eating maize bran"
"2	,	kodi n 'zokuonerani wawa?","2	,	can you truly be proud of that?"
"3	,	potitu zikakhala njinga","3	,	if it is the bicycles"
"4	,	zija munatilonjeza","4	,	you promised"
"5	,	ndi sipokosi yomwe ife","5	,	even a spoke"
"6	,	sitinaione","6	,	we haven't seen it"
"0	,	koma nanu azipani atsogoleri","0	,	but you party leaders"
"1	,	musakomedwe n 'kulorif eza","1	,	should not be carried away with making promises"
"2	,	pongotengera mwayi","2	,	taking advantage"
"3	,	lnde wolankhula pa wayilesi","3	,	yes of speaking on radio"
"4	,	lnde zambiri mwalonjezadi","4	,	yes you have indeed promised many things"
"5	,	koma ichi dziwani","5	,	but know this"
"6	,	wadzisuletu nsapato samulonjeza","6	,	you don't promise shoes to one with calluses"
"7	,	ndife 'agocho '","7	,	we are impotent"
"8	,	ndiye musatilonjeze mwana zero","8	,	so don't promise us a child today"
"9	,	poti mukadzapanda kutipatsa mawa","9	,	because if you don't give us the shoes tomorrow"
"10	,	zanuzo nsapato","10	,	yours"
"11	,	tidzakulandani","11	,	we will surely grab"
"0	,	tilibe nanu chikhumbo","0	,	we have no desire to vote for yoμ"
"1	,	ziwawa nzosathandiza","1	,	violence does nqt endear us to you"
"2	,	ndi mbiri yoipa","2	,	with a bad reputation"
"3	,	chanu chipani chitchuka","3	,	your party is notorious"
"4	,	osati nkhondo","4	,	this is not war"
"5	,	ndife amodzi","5	,	we are one"
"6	,	tisagawikane","6	,	we should not be divided"
"7	,	poti cha.fika chisankho","7	,	simply because of elections"
